Price,Zip,My university,Distance to the university,Address,Bathrooms,Bedrooms,LivingArea,Rent_estimate,DetailURL
2395,78745,UT Austin,7.78 miles,"2601 Redleaf Ln, Austin, TX 78745",2,4,1737,2929,zillow.com/homedetails/2601-Redleaf-Ln-Austin-TX-78745/29493731_zpid/
2995,78721,UT Austin,3.54 miles,"1134 Eleanor St, Austin, TX 78721",2,4,1224,2521,zillow.com/homedetails/1134-Eleanor-St-Austin-TX-78721/29388184_zpid/
1879,78728,UT Austin,12.53 miles,"The James on Grand Avenue, 15701 Farm To Market Rd, Austin, TX 78728",2,4,1304,1878,zillow.com/b/the-james-on-grand-avenue-austin-tx-C4dxFT/
2199,78724,UT Austin,7.64 miles,"Residences at Decker, 9000 Decker Ln, Austin, TX 78724",2,4,1423,2033,zillow.com/apartments/austin-tx/residences-at-decker/5Yw5FW/
2900,78731,UT Austin,4.4 miles,"6109 Shadow Valley Dr #A, Austin, TX 78731",2,4,2200,3377,zillow.com/homedetails/6109-Shadow-Valley-Dr-A-Austin-TX-78731/2113326411_zpid/
3800,78753,UT Austin,8.96 miles,"12600 Lucida Ln, Austin, TX 78753",2,4,2150,2334,zillow.com/homedetails/12600-Lucida-Ln-Austin-TX-78753/124839555_zpid/
2500,78729,UT Austin,11.4 miles,"8912 Bubbling Springs Trl, Austin, TX 78729",2,4,2026,2384,zillow.com/homedetails/8912-Bubbling-Springs-Trl-Austin-TX-78729/29564796_zpid/
2550,78727,UT Austin,10.22 miles,"13005 Odie Ln, Austin, TX 78727",2,4,1444,2149,zillow.com/homedetails/13005-Odie-Ln-Austin-TX-78727/29446117_zpid/
1878,78653,UT Austin,9.79 miles,"The Element, 5724 E Howard Ln, Manor, TX 78653",2,4,1304,2094,zillow.com/b/the-element-manor-tx-C4YPvk/
1887,78724,UT Austin,9.39 miles,"The Beckett, 14011 Fm 969 Rd, Austin, TX 78724",2,4,1486,,zillow.com/b/the-beckett-austin-tx-CbXnGZ/
2800,78705,UT Austin,0.84 miles,"2844 San Gabriel St #A, Austin, TX 78705",2,4,1584,3800,zillow.com/homedetails/2844-San-Gabriel-St-A-Austin-TX-78705/2102782540_zpid/
2400,78754,UT Austin,6.76 miles,"2404 Tucker Ln, Austin, TX 78754",2,4,1698,1887,zillow.com/homedetails/2404-Tucker-Ln-Austin-TX-78754/2058405683_zpid/
3000,78722,UT Austin,1.37 miles,"3304 Larry Ln, Austin, TX 78722",2,4,1550,3200,zillow.com/homedetails/3304-Larry-Ln-Austin-TX-78722/29394753_zpid/
2411,78704,UT Austin,2.41 miles,"Timbercreek Apartments, 614 S 1st St APT 324, Austin, TX 78704",2,4,1220,2257,zillow.com/apartments/austin-tx/timbercreek-apartments/5Xht9f/
3050,78702,UT Austin,2.24 miles,"3111 E. 31st St., 3111 E 13th St #B, Austin, TX 78702",2,4,1200,2476,zillow.com/b/3111-e.-31st-st.-austin-tx-5YN8Wc/
