Price,Zip,My university,Distance to the university,Address,Bathrooms,Bedrooms,LivingArea,Rent_estimate,DetailURL,pred_price
1650,78703,UT Austin,1.92,"2412 Enfield Rd APT 7, Austin, TX 78703",1,1,650,1413.0,zillow.com/homedetails/2412-Enfield-Rd-APT-7-Austin-TX-78703/29333446_zpid/,1803.99
1225,78728,UT Austin,12.5,"The James on Grand Avenue, 15701 Farm To Market Rd, Austin, TX 78728",1,1,651,1225.0,zillow.com/b/the-james-on-grand-avenue-austin-tx-C4dxFT/,1388.02
1672,78724,UT Austin,7.64,"Residences at Decker, 9000 Decker Ln, Austin, TX 78724",1,1,666,1385.0,zillow.com/apartments/austin-tx/residences-at-decker/5Yw5FW/,1623.4
1150,78758,UT Austin,5.83,"Ventura North, 9209 Northgate Blvd APT 202, Austin, TX 78758",1,1,600,,zillow.com/apartments/austin-tx/ventura-north/5XhtB9/,1172.33
2330,78705,UT Austin,0.76,"3407 Red River St FLOOR 2-ID140, Austin, TX 78705",1,1,669,2392.0,zillow.com/homedetails/3407-Red-River-St-FLOOR-2-ID140-Austin-TX-78705/2057853732_zpid/,2132.32
1150,78745,UT Austin,6.0 ,"5220 Tahoe Trl APT 201, Austin, TX 78745",1,1,700,1419.0,zillow.com/homedetails/5220-Tahoe-Trl-APT-201-Austin-TX-78745/58313372_zpid/,1263.94
1025,78745,UT Austin,5.46,"SoCo Flats - East, 4501 Witham Ln APT 107, Austin, TX 78745",1,1,515,1927.0,zillow.com/b/soco-flats-east-austin-tx-5jCb3j/,1177.64
1495,78704,UT Austin,4.68,"Creek Village, 3737 Keats Dr APT 132, Austin, TX 78704",1,1,813,,zillow.com/apartments/austin-tx/creek-village/5Xhsyv/,1623.98
1395,78751,UT Austin,1.92,"5212-B Guadalupe, 5212B Guadalupe St W #1, Austin, TX 78751",1,1,650,1683.0,zillow.com/b/5212-b-guadalupe-austin-tx-C243vf/,1362.95
2800,78704,UT Austin,2.15,"650 Riverside Dr W FLOOR 2-ID32, Austin, TX 78704",1,1,681,,zillow.com/homedetails/650-Riverside-Dr-W-FLOOR-2-ID32-Austin-TX-78704/2056271938_zpid/,2552.99
1226,78653,UT Austin,9.79,"The Element, 5724 E Howard Ln, Manor, TX 78653",1,1,651,1414.0,zillow.com/b/the-element-manor-tx-C4YPvk/,1342.33
1232,78724,UT Austin,9.39,"The Beckett, 14011 Fm 969 Rd, Austin, TX 78724",1,1,662,,zillow.com/b/the-beckett-austin-tx-CbXnGZ/,1307.06
1365,78723,UT Austin,2.81,"City View at Mueller, 1106 Reinli St #136, Austin, TX 78723",1,1,668,1374.0,zillow.com/apartments/austin-tx/city-view-at-mueller/9LRg8J/,1569.94
2560,78741,UT Austin,4.71,"6108 E Riverside Dr FLOOR 3-ID143, Austin, TX 78741",1,1,832,2186.0,zillow.com/homedetails/6108-E-Riverside-Dr-FLOOR-3-ID143-Austin-TX-78741/2057985054_zpid/,2206.93
1233,78744,UT Austin,8.24,"Ethos Apartments, 8001 Interstate Highway 1613, Austin, TX 78744",1,1,625,1283.0,zillow.com/b/bridge-at-monarch-bluffs-austin-tx-CHwtYZ/,1250.6
2100,78722,UT Austin,0.98,"3107B Lafayette Ave, Austin, TX 78722",1,1,804,1803.0,zillow.com/homedetails/3107B-Lafayette-Ave-Austin-TX-78722/2068663184_zpid/,2072.73
1304,78744,UT Austin,8.24,"Ethos Apartments, 8001 Interstate Highway 1133, Austin, TX 78744",1,1,905,1554.0,zillow.com/b/bridge-at-monarch-bluffs-austin-tx-CZsyFk/,1386.6256666666666
1900,78704,UT Austin,3.31,"502 W Live Oak St APT B, Austin, TX 78704",1,1,650,1450.0,zillow.com/homedetails/502-W-Live-Oak-St-APT-B-Austin-TX-78704/2089301052_zpid/,1835.73
1350,78705,UT Austin,0.78,"Cedar Street Flats, 3707 Cedar St APT 208, Austin, TX 78705",1,1,450,2167.0,zillow.com/b/cedar-street-flats-austin-tx-5Xy5gp/,1322.54
1625,78705,UT Austin,0.74,"San Remo Apartments, 2204 San Gabriel St APT 305, Austin, TX 78705",1,1,600,1381.0,zillow.com/apartments/austin-tx/san-remo-apartments/5XhtB3/,1575.08
1233,78744,UT Austin,8.24,"Ethos Apartments, 8001 Interstate Highway 233, Austin, TX 78744",1,1,625,,zillow.com/b/bridge-at-monarch-bluffs-austin-tx-CbWHxF/,1250.6
1323,78744,UT Austin,8.24,"Ethos Apartments, 8001 Interstate Highway 334, Austin, TX 78744",1,1,905,1554.0,zillow.com/b/bridge-at-monarch-bluffs-austin-tx-CZm5ND/,1386.6256666666666
1340,78744,UT Austin,8.24,"Ethos Apartments, 8001 Interstate Highway 1234, Austin, TX 78744",1,1,811,1346.0,zillow.com/b/bridge-at-monarch-bluffs-austin-tx-CZcgN2/,1390.635523809524
1369,78744,UT Austin,8.24,"Ethos Apartments, 8001 Interstate Highway 1733, Austin, TX 78744",1,1,811,,zillow.com/b/bridge-at-monarch-bluffs-austin-tx-CbMtXp/,1390.635523809524
1535,78726,UT Austin,11.0,"Abelia Flats, 8225 N Fm 620 APT 1225, Austin, TX 78726",1,1,776,,zillow.com/b/abelia-flats-austin-tx-5Xhstm/,1566.47
1200,78745,UT Austin,5.05,"4307 S 1st St APT 202, Austin, TX 78745",1,1,594,1250.0,zillow.com/homedetails/4307-S-1st-St-APT-202-Austin-TX-78745/29481975_zpid/,1281.34
1995,78758,UT Austin,7.37,"11409 Ptarmigan Dr #A, Austin, TX 78758",1,1,957,,zillow.com/homedetails/11409-Ptarmigan-Dr-A-Austin-TX-78758/2055179259_zpid/,1979.7333333333333
