Price,LivingArea,Distance to the university,Address,My university,Rent_estimate,Bathrooms,Bedrooms
1300,900,0.86 miles,"2500 Longview St, Austin, TX 78705",UT Austin,,2,2
1345,938,9.25 miles,"9503 Kempler Dr APT C, Austin, TX 78748",UT Austin,1980,2,2
1349,850,4.2 miles,"Burl North, 2507 Burleson Rd #215, Austin, TX 78741",UT Austin,,2,2
1400,920,10.81 miles,"Bridge at Sweetwater, 2323 Wells Branch Pkwy #A108, Austin, TX 78728",UT Austin,,2,2
1449,860,7.3 miles,"Bridge at Southpoint, 6808 S Interstate Highway 35, Austin, TX 78745",UT Austin,,2,2
1450,900,7.71 miles,"Kamath Properties (1811 Prairie Knoll Ct), 1811 Prairie Knoll Ct #A, Austin, TX 78758",UT Austin,,2,2
1468,902,9.79 miles,"The Element, 5724 E Howard Ln, Manor, TX 78653",UT Austin,1634,2,2
1470,785,6.37 miles,"Pointe 360, 6804 N Capital Of Texas Hwy APT 124, Austin, TX 78731",UT Austin,1438,2,2
1476,919,9.39 miles,"The Beckett, 14011 Fm 969 Rd, Austin, TX 78724",UT Austin,,2,2
1486,986,8.24 miles,"Ethos Apartments, 8001 Interstate Highway 1427, Austin, TX 78744",UT Austin,1599,2,2
1495,1100,8.56 miles,"4304 Acropolis Ct APT C, Austin, TX 78759",UT Austin,1694,2,2
1500,1050,10.7 miles,"1911 Alex, 1911 Alex Ave APT B, Austin, TX 78728",UT Austin,,2,2
1509,1033,8.24 miles,"Ethos Apartments, 8001 Interstate Highway 1937, Austin, TX 78744",UT Austin,1624,2,2
1510,780,2.49 miles,"The Rosedale, 2211 Loop 15363103, Austin, TX 78756",UT Austin,,2,2
1518,986,8.24 miles,"Ethos Apartments, 8001 Interstate Highway 1412, Austin, TX 78744",UT Austin,,2,2
1550,985,9.07 miles,"9301 Kempler Dr, 9301 Kempler Dr #A, Austin, TX 78748",UT Austin,2065,2,2
1550,1000,6.14 miles,"5309-C Indio, 5309C Indio Dr #1, Austin, TX 78745",UT Austin,,2,2
1551,986,8.24 miles,"Ethos Apartments, 8001 Interstate Highway 1728, Austin, TX 78744",UT Austin,,2,2
1570,1050,11.39 miles,"8810 Piney Point, 8810 Piney Point Dr #A, Austin, TX 78729",UT Austin,1650,2,2
1581,1064,8.24 miles,"Ethos Apartments, 8001 Interstate Highway 1738, Austin, TX 78744",UT Austin,,2,2
1592,1056,11.3 miles,"Onion Creek Luxury Apartments, 10701 Interstate Hwy #1627, Austin, TX 78747",UT Austin,,2,2
1598,1056,11.3 miles,"Onion Creek Luxury Apartments, 10701 Interstate Hwy #1236, Austin, TX 78747",UT Austin,1749,2,2
1599,985,4.18 miles,"6600 Valleyside Rd #30, Austin, TX 78731",UT Austin,,2,2
1608,1056,11.3 miles,"Onion Creek Luxury Apartments, 10701 Interstate Hwy #936, Austin, TX 78747",UT Austin,1749,2,2
1610,1056,11.3 miles,"Onion Creek Luxury Apartments, 10701 Interstate Hwy #625, Austin, TX 78747",UT Austin,1742,2,2
1610,1056,11.3 miles,"Onion Creek Luxury Apartments, 10701 Interstate Hwy #1728, Austin, TX 78747",UT Austin,1758,2,2
1620,1056,11.3 miles,"Onion Creek Luxury Apartments, 10701 Interstate Hwy #925, Austin, TX 78747",UT Austin,1749,2,2
1638,1121,11.3 miles,"Onion Creek Luxury Apartments, 10701 Interstate Hwy #1324, Austin, TX 78747",UT Austin,,2,2
1638,1121,11.3 miles,"Onion Creek Luxury Apartments, 10701 Interstate Hwy #221, Austin, TX 78747",UT Austin,1747,2,2
